num,arg_count,one_count,flag,hex_func,npn_class_len
1,3,0,U,00,2
2,3,1,S,01,16
3,3,2,U,03,24
4,3,2,S,06,24
5,3,2,S,18,8
6,3,3,S,07,48
7,3,3,S,16,16
8,3,3,S,19,48
9,3,4,U,0f,6
10,3,4,S,17,8
11,3,4,S,1b,24
12,3,4,S,1e,24
13,3,4,U,3c,6
14,3,4,S,69,2
